Model,Best Parameters,Best CV ROC AUC,Test ROC AUC,Precision,Recall,F1
Random Forest,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 350}",0.7688696546267263,0.7787186930622735,0.6757936507936508,0.23626526082130966,0.3501233552631579
XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150, 'subsample': 1.0}",0.763233179337188,0.7735860039496965,0.6455958549222798,0.25929522752497225,0.36998911214490743
